Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
SOUTH AFRICA,Port Alfred,Fishing,N,"Raggedtooth shark, 2m",-33.5981844,26.8914772
AUSTRALIA,Tathra,Swimming,Y,3 m to 4 m white shark,-36.7284498,149.9850271
AUSTRALIA,Off Dawesville Cut,Diving for lobsters,N,Shark involvement prior to death not confirmed,-24.3971256,145.4640085
SOUTH AFRICA,"Second Beach, Port St Johns",Swimming,Y,2 m shark,-31.6475807,29.5207816
USA,Delray Beach,Kite Surfing,N,4' to 5' shark,26.4614625,-80.0728201
USA,Macarthur State Park,Surfing,N,Unknown,26.8239253,-80.0440787
AUSTRALIA,Winkipop Beach,Surfing,N,Unknown,-33.27443,151.54614
USA,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,N,Blacktip or spinner shark?,27.29616,-80.21616
FRENCH POLYNESIA,Huahine,Kitesurfing,N,Blacktip reef shark,-16.7285885,-151.0134697
AUSTRALIA,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,Y,Unknown,-35.0670499,137.6877292
NEW ZEALAND,Porpoise Bay,Surfing,N,7-gill shark?,-46.6494372,169.1185365
AUSTRALIA,Umina Beach,Fishing,N,1m shark,-33.5177778,151.3094444
NEW ZEALAND,Garden Bay near Cosy Nook,Spearfishing,N,7-gill shark,-46.32842,167.71008
JAPAN,Off Miyako Island,Sea disaster,N,Unknown,35.68536,139.75309
NEW ZEALAND,Stewart Island,Filming a documentary,N,"White shark, 6 m",-46.9867197,167.882138
NEW CALEDONIA,"Lindéralique, Hienghène",Snorkeling,N,Reported to involve a bull shark,-20.6871218,164.9782514
SOUTH AFRICA,Die Platt,Surfing,N,"White shark, 3m",-29.0,24.0
USA,"Ninole Bay, Hawaii County",Boogie boarding,N,"Tiger shark, 10' to 12'",19.6024,-155.52289
AUSTRALIA,"Shelly Beach, near Port Macquarie",Surfing,N,"Wobbegong shark, 1.6 to 1.8m",-31.43084,152.90894
USA,"Between  Makena & Molokini, Maui",Kayaking / Fishing,Y,Unknown,20.65444,-156.4425
AUSTRALIA,"Riecks Point,  Campbell’s Beach, ",Body boarding,Y,"Tiger shark, 3m",-30.2485,153.1512
USA,"Keawekapu Beach, Kihei, Maui",Snorkeling,N,Unknown,20.75548,-156.45446
USA,"Gleneden Beach, Lincoln County",Surfing,N,"White shark, 10 '",44.8789911,-124.0346728
AUSTRALIA,"Trigg Beach, Perth",Surfing,N,Reported to involve a white shark,-31.95224,115.8614
BAHAMAS,Off Cape Eleuthera,Shark fishing,N,Unknown,24.84252,-76.34056
USA,"Bay Head, Ocean County",Body boarding,N,Unknown,40.0717828,-74.0543036
USA,"Kanaha Beach, Maui",Kiteboarding,N,Tiger shark,20.8997765,-156.4418937
AUSTRALIA,Turquoise Bay,Snorkeling,N,"Blacktip reef shark, 1m",-22.0960185,113.8876247
AUSTRALIA,"Little Island, near Hillarys",Diving for crayfish,N,Reported to involve a 4 m white shark,-31.80698,115.74045
AUSTRALIA,South Narrabeen Beach,Surfing,N,Wobbegong shark,-33.7228616,151.2990456
USA,"Waiehu, Maui",Diving ,N,"Whitetip reef shark, 4' to 6'",20.9208377,-156.4956999
USA,"Pila'a Beach, Kaua'i",Surfing,N,Tiger shark,20.927488,-156.366755
USA,Miami Beach,Wading,N,Nurse shark?,25.7929198,-80.1353006
SOUTH AFRICA,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,Y,White shark,-34.05065,24.9195
AUSTRALIA,"Off Poison Creek, Cape Arid",Diving for Abalone,N,White shark,-15.45159,145.1522708
ISRAEL,Ashdod,Diving,N,Unknown,31.7977314,34.6529922
USA,"Panama City, Bay County",Standing,N,Unknown,30.1586518,-85.6602936
USA,"Carlin Park, Jupiter, Palm Beach County",Surfing,N,Unknown,26.9291402,-80.070595
USA,"Casino Beach, Pensacola, Escambia County",Swimming,N,Bull shark,30.3310308,-87.1426164
USA,"New Smyrna Beach,  Volusia County",Surfing,N,3' shark,29.0258132,-80.9271271
USA,Key West Aquarium,,N,Nurse shark,24.5590739,-81.8073197
USA,"St Augustine Beach, St Johns County",Casting a net,N,4' shark,29.8508613,-81.2716634
BAHAMAS,Freetown Beach,Spearfishing,N,Blacktip shark,25.04082,-77.37122
USA,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,N,Salmon shark,34.4176011,-119.6490079
USA,Catalina Channel,Marathon swimming,N,No shark involvement,39.747758,-87.229788
USA,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,N,Unknown,29.1043273,-80.9413695
AUSTRALIA,Smiths,Wrangling a shark,N,Unknown,-32.3844052,152.4861365
USA,Pohoiki ,Surfing,N,Unknown,19.4598015,-154.8444875
USA,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,N,White shark,37.5011797,-122.4747571
USA,"Makenat, Maui",Snorkeling,Y,Tiger shark?,36.74432,-94.529129
USA,"Ka'a Point, Maui",Kiteboarding,N,Unknown,36.74432,-94.529129
USA,Folly Beach,Surfing,N,"Bull shark, 8'",32.6554848,-79.9407802
USA,"Sanibel Island, Lee County",Fishing,N,"Bull shark, 6' to 8'",26.440359,-82.1137049
USA,"Ulua Beach, Maui",Snorkeling,N,Unknown,20.6905308,-156.4436696
BAHAMAS,Scotland Cay,Spearfishing,N,6' shark,26.6455936,-77.0743112
BAHAMAS,Grand Cay,Diving,N,Unknown,27.1435,-78.2206942
BRAZIL,"Boa Viagem Beach, Recife",Swimming,Y,Unknown,-8.05389,-34.88111
USA,"Butler Beach, St Augustine,       St. Johns County",Swimming ,N,Unknown,29.822421,-81.2713416
REUNION,Le cimetière marin,Swimming & snorkeling,Y,Unknown,-21.10084,55.60344
USA,Holden Beach. Brunswick County,Wading,N,Unknown,33.9135061,-78.3038892
SPAIN,"Sant Marti d’Empuries Beach, L’Escala",Swimming,N,Shark involvement not confirmed,42.12562,3.13261
JAMAICA,Port Royal,,N,Shark involvement prior to death not confirmed,17.9360762,-76.8417961
USA,"Pacific State , San Mateo County",Kayaking / Fishing,N,White shark,37.43621,-122.35566
USA,"Jacksonville, Duval County",Swimming,N,"Possibly a Bull shark, 3'",30.3321838,-81.655651
USA,"Kiawah Island, Charleston County",Swimming,N,4' to 5' shark,32.6082373,-80.0848166
USA,Kona Coast State Park,Swimming,N,"Tiger shark, 14'",40.04903,-94.528544
USA,"Surfside Beach, Brazoria County",Swimming,N,Unknown,28.950706,-95.2874288
SOUTH AFRICA,Queensberry Bay,Surfing,N,Unknown,-32.8802778,28.0980556
USA,"Off Snipe Point, Florida Keys, Monroe County",Fishing for sharks,N,"Lemon shark, 4'",24.66709,-81.58314
AUSTRALIA,Target Beach,Surfing,N,6' shark,-35.0715746,150.7828873
USA,"Halewia, Oahu",Diving,N,Galapagos shark,38.882352,-105.937359
BRAZIL,Coral Cove Beach,,Y,Unknown,-10.0,-55.0
PALESTINIAN TERRITORIES,Gaza,Fishing,N,Unknown,31.5,34.46667
ECUADOR,"Playa Brava, Turtle Bay",Surfing,N,Galapagos shark,-1.25,-78.25
USA,"Tourmaline Surf Park, San Diego County",Surfing,N,Invalid,33.0282,-116.77021
REUNION,Brisant Beach,Body boarding,Y,Bull shark,-21.0571347,55.2225586
MEXICO,"Seagull Beach, Cancun",Swimming,N,Tiger shark,21.17429,-86.84656
AUSTRALIA,Crowdy Head,Fishing,N,"Grey nurse shark, 3m",-31.84016,152.7511891
USA,"Near Boynton Beach, Palm Beach County",Playing in the surf,N,3' shark,26.52535,-80.06643
SOUTH AFRICA,False Bay,Free diving,N,Blue shark,-34.2270275,18.6554907
FRENCH POLYNESIA,"North Pass, Fakarava",Kite boarding,N,Possibly a blacktip reef shark,-16.33333,-145.61667
USA,"Jensen Beach, Martin County ",Swimming,N,Unknown,27.2208962,-80.2556773
AUSTRALIA,Perth,,N,shark involvement not confirmed,-31.9558967,115.8605784
AUSTRALIA,Terrigal Beach,Surfing,N,No shark involvement,-33.4449876,151.4439388
SEYCHELLES,Ile Platte,Free diving,N,Unknown,-4.58333,55.66667
BAHAMAS,Savannah Sound,Fly fishing,N,Unknown,25.0864501,-76.1305518
SOUTH AFRICA,De Mond,Fishing - 'tag & release',N,"Raggedtooth shark, 1.5 m",-33.6782234,26.1900266
SOUTH AFRICA,Hawston Beach,Surfing,N,Unknown,-33.8867819,18.4928987
JAMAICA,Pillikin Red Light area ,Spearfishing,Y,"Tiger shark, 4.8 m",18.16667,-77.25
AUSTRALIA,African Reef off Geraldton,Spearfishing,N,"Bronze whaler shark, 2.5m",-28.9117027,114.6818576
PHILIPPINES,Off Likas Island,Swimming to shore with floatioon devices after boat engine conked out,N,"""small sharks""",14.0815,123.1071
NEW ZEALAND,Muriwai,Swimming,Y,"White shark, 4m",-36.8246517,174.4339345
USA,"Ka'anapali, Honokowai, Maui",Surfing,N,reef shark?,20.95258,-156.688
USA,"""Stuart Rocks"", Martin County",Surfing,N,"Blacktip shark, 4' to 5'",27.08157,-80.39851
JAMAICA,Pedro Cays,,N,Unknown,17.0,-77.83333
AUSTRALIA,Cape Nelson,Fishing,N,"White shark, 5m",-38.4309876,141.5445567
AUSTRALIA,Noosa,Surfing,N,Unknown,-26.3181415,152.9314093
AUSTRALIA,Bullcock Beach,Dragging stranded shark into deeper water,N,Unknown,-33.27443,151.54614
USA,Kiholo Bay,Surfing,N,"Tiger shark, 15'",19.8594444,-155.933333
NEW ZEALAND,Great Mercury Island,Spearfishing,N,"Bronze whaler shark, 3m",-36.6161239,175.8016072
AUSTRALIA,Near Legendre Island,Spearfishing / Free diving,N,Unknown,-27.8869433,153.4009498
AUSTRALIA,Between Dee Why and Long Reef,Surfing,N,2.5 m shark,-29.4,114.9
AUSTRALIA,"Kylie's Beach, Diamond Head",Paddle boarding,N,"Bull shark, 2m",-31.72855,152.80149
AUSTRALIA,Green Island,Spearfishing,N,Sandtiger shark,-16.7602405,145.9740374
NEW ZEALAND,"Sunday Cove, Fiordland",Scuba diving,N,Seven-gill shark,-45.16667,167.33333
AUSTRALIA,Mooloolaba,,N,No shark involvement,-26.6852565,153.1131849
MEXICO,Nuevo Altata,Swimming,Y,2.5 m shark,24.6350066,-107.9728149
USA,"Makena Landing, Maui",Diving,N,"Tiger shark, 15'",20.6539101,-156.4410367
USA,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,N,"Tiger shark, 8'",20.927488,-156.366755
USA,"Humboldt Bay, Eureka, Humboldt County",Surfing,N,White shark,40.8059602,-124.156728
USA,"Surf Beach, Lompoc, Santa Barbara County",Surfing,Y,"White shark, 15' to 16'",34.63915,-120.45794
USA,"Seaport, Brevard County",,N,Unknown,28.4168126,-80.6130373
NIGERIA,Oboro,Bathing,N,Unknown,5.1885313,5.8793916
USA,"Davenport Landing, Santa Cruz County",Windsurfing,N,Unknown,37.0243413,-122.21493
AUSTRALIA,"Mullaloo Beach, Perth",Bodyboarding,N,2m shark,-31.95224,115.8614
USA,"Spanish House Beach, Brevard County",Surfing,N,4' shark,28.30031,-80.70121
USA," Cocoa Beach, Brevard  County",Surfing,N,Unknown,28.3184107,-80.6094959
TONGA,Eueiki Island,Swimming,N,Possibly a 3 m bull shark,-20.0,-175.0
USA,"South Beach, Miami-Dade County",Swimming,N,Unknown,25.7744291,-80.1332415
USA,"Neptune Beach, Duval County",Surfing,N,Unknown,30.311908,-81.3964734
USA,"St. Augustine Beach, St. John's County",Surfing,N,Unknown,32.074208,-89.932948
USA,"Spreckelsville, Maui",Spearfishing,N,"Tiger shark, 10' to 12'",20.9089792,-156.4080138
SCOTLAND,Off the Isle of Islay,Shark fishing,N,"Porbeagle shark, 7'",55.78526,-6.23886
BRAZIL,"Coral Cove, Cabo de Santo Agostinho",Swimming,Y,Unknown,-8.28667,-35.035
AUSTRALIA,Ocean Reef,Fishing,N,4.5 m shark,-31.7569941,115.7380757
USA,Key Largo,Free diving ,N,"Lemon shark, 4' to 5'",25.087035,-80.4472392
FRENCH POLYNESIA,Kaukura Atoll,Spearfishing,N,"Lemon shark, 2.5m to 3m",-15.75,-146.7
USA,"Topanga Beach, Los Angeles County",Surfing,N,Unknown,34.0388205,-118.5816256
USA,"Maha‘ulepu Beach, Kauai",Surfing,N,Unknown,19.581873,-155.032104
USA,"Ballston Beach, Truro, Cape Cod",Body surfing,N,Thought to involve a white shark,42.0005707,-70.0208816
TRINIDAD & TOBAGO,"Off Radix Village, Mayoro County",Swimming,N,Unknown,11.0,-61.0
CANADA,"Tofino, Vancouver",Surfing,N,"Salmon shark suspected, but unlikely",49.24966,-123.11934
AUSTRALIA,Off Wedge Island,Surfing,Y,"White shark, 5m",-23.1774861,150.9416423
USA,"North Topsail Beach, Onslow County",Swimming,N,Unknown,34.4751366,-77.4580663
AUSTRALIA,Ship's Graveyard off Point Lonsdale,Scuba diving,N,Unknown,-38.28173,144.61055
SOUTH AFRICA,"Sandstrand, Jongensfontein",Surfing,N,15' shark,-34.42562,21.33995
CROATIA,Buccari Bay,Swimming,N,No shark involvement,45.2930829,14.5586093
USA,"Kahana Beach, Maui",Sitting in the water,N,a small reef shark,36.74432,-94.529129
AUSTRALIA,South Cape Bay,Surfing,N,Unknown,-43.6212171,146.794109
USA,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,N,Unknown,27.19755,-80.25283
AUSTRALIA,Port Campbell,Surfing,N,1.5 m shark,-38.6196293,142.995366
ITALY,Muravera,Attempting to rescue an injured & beached shark,,"Blue shark, 2.5m",39.420945,9.573551
AUSTRALIA,"Redhead Beach, Newcastle",Surf skiing ,N,"White shark, 2 m",-33.0147213,151.7059403
MEXICO," Boca de la Leña, La Unión",Free diving / spearfishing,N,"Bull shark, 3m",17.9735693,-101.983434
FIJI,Matacucu Reef ,Spearfishing,N,Unknown,-18.0,178.0
USA,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,N,White shark,35.5807058,-121.1181443
USA,Off Catalina Island,Paddle boarding,N,White shark,39.747758,-87.229788
SOUTH AFRICA,Caves near Kogel Bay,Body boarding,Y,"White shark, 4 m to 5m",-34.23132,18.84224
AUSTRALIA,"Dolphin Bay, Innes National Park",Kayaking,N,"White shark, 6m",-35.21962,136.88687
USA,"Leftovers near Chun's Reef, Oahu",Surfing,N,"Tiger shark, 10'",38.882352,-105.937359
AUSTRALIA,Stratham Beach,Scuba diving,Y,"White shark, 4m",-33.27443,151.54614
AUSTRALIA,Kalbarri,Crayfishing,N,White shark,-27.7109989,114.1638162
AUSTRALIA,Nobby's Beach,Surfing,N,Possibly a bull shark,-31.4463697,152.9294969
NEW ZEALAND,"Opunake, Taranake",Surfing,N,Unknown,-42.0,174.0
AUSTRALIA,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",N,"Tawny nurse shark, 40cm",-25.0,135.0
REUNION,Port de la Marine,Body boarding,N,Unknown,-21.10084,55.60344
SAUDI ARABIA,Off Duba,Attempting to Kite surf from Egypt to Saudi Arabia,N,Unknown,27.35134,35.69014
CHILE,Antofagasta,Fishing (illegally),N,Unknown,-23.6463741,-70.3980033
USA,"Palm Beach Inlet, Palm Beach County",Kite Surfing,N,Spinner shark,26.64757,-80.43651
AUSTRALIA,Broughton Island,Fishing,N,Grey nurse shark,-32.617282,152.3200714
SOUTH AFRICA,Strandfontein,Fishing,N,"White shark, 7m",-31.755556,18.227222
AUSTRALIA,Wurtulla,Surfing,N,Unknown,-26.755654,153.1280208
USA,Lanai,Snorkeling,N,6' to 8' shark,20.8305441,-156.9029493
TAIWAN,Taimali,Fishing,N,"Blue shark, 70-kg blue shark",22.6154312,121.0073358
AUSTRALIA,Redhead Beach,Surfing,N,"White shark, 2.7 m",-33.0147213,151.7059403
SOUTH AFRICA,"Second Beach, Port St. Johns",Swimming,Y,Thought to involve a bull shark,-31.6475807,29.5207816
USA,"Lincoln City, Lincoln County",Surfing,N,White shark,44.9617922,-124.0159522
AUSTRALIA,North Avoca Beach,Surfing,N,2 m shark,-33.4604211,151.4382576
AUSTRALIA,Duranbah,Spearfishing,N,Allegedly a 4 m tiger shark,-28.3069529,153.5218903
USA,"Jupiter, Palm Beach County",,N,Unknown,26.9342246,-80.0942087
ANTIGUA,Fort James Beach,Swimming,N,Shark involvement not confirmed,17.1348486,-61.8607238
ECUADOR,Barandúa Beach,Surfing,N,Unknown,-1.25,-78.25
USA,"Makahuena Point, Kauai",Canoeing,N,7' to 8' shark,21.8683987,-159.4442803
SOUTH AFRICA,"Noordhoek, Port Elizabeth",Kayak Fishing,N,Unknown,-34.0391667,25.6388889
AUSTRALIA,Angourie,Surfing,N,"White shark, 2.5m",-29.478884,153.3600421
USA,Seaside Cove,Surfing,N,Unknown,33.8527131,-117.9501199
AUSTRALIA,Bushy Ilet,Spearfishing,N,Shark involvement not confirmed,-25.0,135.0
AUSTRALIA,Broken Head,Surfing,N,Unknown,-28.715,153.5844444
INDONESIA,Tabanan,Surfing,N,Unknown,-8.5566523,115.0013121
AUSTRALIA,Peregian,Swimming,N,Wobbegong shark?,-26.4949465,153.0681201
USA,Pigeon Point,Kayaking,N,"White shark, 15' to 16'",37.0532901,-121.4938309
PAPUA NEW GUINEA,Pigeon Island,Scuba diving,N,Unknown,-4.2688791,152.3272696
BRAZIL,"Punta Del Chifre Beach, Olinda",Surfing,N,Unknown,-8.00889,-34.85528
REUNION,Sainte-Rose,Free diving / spearfishing,N,Unknown,-21.1277445,55.7922999
USA,"Marina State Beach, Monterey County",Surfing,N,White shark,36.69135,-121.80884
SCOTLAND,Spey Bay,Surfing,N,8' to 10' shark,57.6726898,-3.088846
SOUTH AFRICA,"uShaka Aquarium, Durban",Diving,N,Raggedtooth shark,-29.8579,31.0292
USA,"Newport, Lincoln County",Surfing,N,"White shark, 15'",44.636755,-124.053442
AUSTRALIA,Elwood Beach,Diving,N,"Port Jackson shark, 1m",-37.889731,144.9841654
USA,Cape Canaveral,Surfing,N,3' shark,28.4513556,-80.5283059
USA,Seaside,Surfing,N,10' to 12' shark,36.62593,-121.816926
AUSTRALIA,Cottesloe Beach,Swimming,Y,Unknown,-31.9953965,115.7511955
REUNION,Cap La Houssaye,Canoeing,N,2 to 2.5 m shark,-21.0178679,55.2352379
USA,"Santa Maria Island, Manatee County",Wade fishing,N,Unknown,27.47752,-82.35754
USA,Hatillo Beach,Surfing,N,No shark involvement,31.900267,-83.689297
DOMINICAN REPUBLIC,Playa Jackson ,Fishing,N,Unknown,19.2890591,-69.6635113
SOUTH AFRICA,Clovely Beach,Swimming,N,White shark,-29.0,24.0
REUNION,Boucan-Canot,Body boarding,Y,Unknown,-21.0309795,55.2265631
KENYA,"Mama Ngina Beach, Mombasa ",Swimming,Y,Unknown,-4.05466,39.66359
USA,"Samoa Beach, Humboldt County",Surfing,N,Unknown,40.70501,-123.91582
PAPUA NEW GUINEA,"Hula, near Port Moresby",Kite Surfing,N,"Tiger shark, 2m",-9.44314,147.17972
USA,"Nimitz State Beach, Oahu",Surfing,N,Unknown,38.882352,-105.937359
AUSTRALIA, Bunker Bay,Body boarding,Y,White shark,-33.54022,115.04011
USA,Crescent Beach St. Johns County,Surfing,N,6' shark,29.738289,-81.2423048
AUSTRALIA,Fantome Island,Swimming,N,Shark involvement prior to death not confirmed,-18.6872277,146.5194449
USA,"Grass Island, Aransas County",Wade Fishing,N,Unknown,28.0514053,-97.1538796
RUSSIA,Slavyanka,"Standing, collecting sea stars",N,Unknown,42.8606833,131.3924115
USA,"Buxton Beach, Dare County",Surfing,N,Unknown,35.2581815,-75.523312
RUSSIA,Zheltukhin Island,Swimming,N,Unknown,60.0,100.0
USA,"Kure Beach, New Hanover County",Wading,N,Possibly a 5' to 6' sandtiger shark,33.9968399,-77.9072081
USA,"Wrightsville Beach, New Hanover County",,N,Shark involvement not confirmed,34.2079917,-77.7955907
RUSSIA,Vityaz,Swimming,N,4 m shark,51.9747711,104.1047099
FRENCH POLYNESIA,"Teahupoo, Tahiti",Surfing,N,Grey reef shark,-17.5,-149.5
USA, Vieques,Floating ,N,Unknown,18.1215622,-65.457464
SEYCHELLES,Anse Lazio ,Swimming or Snorkeling,Y,"Bull shark, 6'",-4.2934363,55.7018999
USA,Beaufort Inlet,Swimming,N,Unknown,32.3327243,-80.6356967
BRAZIL,Praia do Pina,Swimming,N,Shark involvement prior to death not confirmed,-8.0945062,-34.8819499
USA,"Egg Harbor, Atlantic County",Wade Fishing,N,Unknown,39.3820672,-74.6171489
SOUTH AFRICA,"Cintza Beach, East London",Surfing,N,"White shark, 3m to 4m",-33.01529,27.91162
USA,"Ocracoke Island, Hyde County",Boogie Boarding,N,Unknown,35.1279594,-75.9220813
REUNION,Brisants. ,Kayaking or Wave skiing,N,Unknown,-21.0567563,55.222542
BAHAMAS,Off Lucaya,Scuba diving,N,Unknown,26.53333,-78.66667
USA,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,N,Unknown,28.22723,-96.64026
USA,"Mustang Island, Nueces County",Wade Fishing,N,Unknown,27.739476,-97.1316551
REUNION,Roches Noires,Surfing,N,Unknown,-21.053005,55.229311
COLUMBIA,"Libertad, San Onofre",Kayaking,N,Unknown,9.8962382,-75.5741143
SOUTH AFRICA,Aliwal Shoal,Scuba diving,N,"Bull shark, 3m female",-30.25,30.81667
USA,"San Onofre State Beach, San Diego County",Surfing,N,"White shark, 5' k",33.37281,-117.5656
USA,"Perdido Key, Escambia County",Jet skiing,N,Unknown,30.3180487,-87.4259275
UNITED KINGDOM,St. Ives,Fishing,N,"Oceanic whitetip shark, 7'",50.2149064,-5.4795083
USA,"Off Jupiter Inlet, Palm Beach County",Scuba diving,N,"Blacktip shark, 4'",26.94478,-80.07199
COLUMBIA,Albuquerque Cay,Spearfishing,N,Unknown,34.00071,-81.03481
MALAYSIA,Palau Payar,Snorkeling,N,Blacktip reef shark,2.5,112.5
USA,"Follett's Island, Brazoria County",Standing or boogie boardin,N,Unknown,29.16783,-95.43426
SOUTH AFRICA,Robberg Beach,Surfing,N,White shark,-34.080205,23.3712191
USA,"Lyman Beach, Kailua-Kona",Surfing,N,"Tiger shark, 10'",19.63927,-155.99024
SOUTH AFRICA,Levan Point,Spearfishing,Y,Zambesi shark,-29.87038,31.04565
USA,"Ponte Vedra Beach, St Johns County",Body surfing,N,Unknown,30.2396865,-81.3856384
NEW CALEDONIA,Kendec,Kite Boarding,Y,"Tiger shark, 2.8m",-21.5,165.5
USA,Miami,Fishing ,N,"Sandbar shark, 8'",25.7741728,-80.19362
UNITED ARAB EMIRATES (UAE),Khor Fakkan ,Fishing ,N,Invalid,25.33132,56.34199
SOUTH AFRICA,Palm Beach,Spearfishing,N,Unknown,-30.981321,30.273582
USA,"Riviera Beach, Palm Beach County",Spearfishing,N,"Bull shark, 12'",26.784343,-80.0650293
AUSTRALIA,Red Bluffs,Washing sand off a speared fish,N,"reef shark, 1.5m",-37.9624888,145.0156979
NEW ZEALAND,Snapper Point,Surfing,N,possibly a bronze whaler shark,-41.29546,174.8053089
FIJI,"Malake Island, Ra Province",Diving,N,Unknown,-17.5,178.16667
USA,Matagorda Beach,"Standing, holding shark pup",N,Blacktip shark pup,28.6118222,-95.9400871
MEXICO,"Gaviotas Beach, Cancun",Swimming,N,Bull shark,21.17429,-86.84656
FIJI,Nukudamu ,Diving / fishing,N,Unknown,-16.16091,179.96263
AUSTRALIA,"Jimmys Beach, Port Stephens",Wakeboarding,N,3 m to 4 m shark,-32.71314,152.06623
EGYPT,Sharm-el-Sheikh,,N,Unknown,27.8644422,34.295447
AUSTRALIA,"Tallow Beach, Byron Bay",Surfing,N,Unknown,-28.6697473,153.6208087
AUSTRALIA,Between ,Fishing,N,"Bull shark, 2m",-27.4698444,153.0122765
NEW CALEDONIA,"Bay of Bweedro, Ouvéa",Spearfishing,N,1.5 m shark,-20.6617,166.55308
REUNION,Trois-Roches,Surfing,N,Unknown,-21.0900726,55.4117146
AUSTRALIA,Off Perforated Island near Coffin Bay,Diving for abalone,Y,White shark x 2,-34.61667,135.46667
AUSTRALIA,Sunshine Beach,Fishing,N,1 m shark,-26.4051292,153.1117838
MEXICO,"Manzanillo, Revillagigedo Islands",Shark fishing on the Ricardo Astorga,N,Unknown,23.0,-102.0
SOUTH AFRICA,"Sundays River Mouth, Port Elizabeth",Surf fishing,N,Unknown,-33.91799,25.57007
MEXICO,Cancun,Swimming,N,6' shark,21.1527467,-86.8425761
MEXICO,Revillagigedo Islands,Shark fishing on the Don Agustín-VI. ,N,Unknown,18.7927418,-110.9820313
AUSTRALIA,Cudgen Creek ,Swimming,N,Shark involvement not confirmed,-28.2934184,153.568729
SOUTH AFRICA,"Second Beach, Port St. John's",Surfing,Y,Unknown,-31.53613,29.42128
MEXICO,Xcalak ,Attempting to fix motor,N,Unknown,18.2703769,-87.8359632
